folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),current_bedtime,Pittsburgh Sleep Quality Index: When usually gone to bed the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=my3jgPQcjHC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_01gonetobed;psqi;sleep_timing;SleepHealth_timing,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),current_wake_time,Pittsburgh Sleep Quality Index: What time gotten up in the morning the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=XJ_rvRup6U)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_03morning;psqi;sleep_timing;SleepHealth_timing,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),feel_cold,Pittsburgh Sleep Quality Index: Feel too cold during sleep the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=QyvhxoQ9orC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_11cold;psqi;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),feel_hot,Pittsburgh Sleep Quality Index: Feel too hot during sleep the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=m1O3lsQ9jBA)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_12hot;psqi;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),mos_sleep_hrs,Pittsburgh Sleep Quality Index: Hours of actual sleep at night the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=m1mQgx45sHC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_04actualslp;psqi;sleep_duration;sleep_efficiency;SleepHealth_efficiency,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),mos_take_fall_asleep,Pittsburgh Sleep Quality Index: How long taken to fall asleep each night the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=my3jgPQcjHC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_02fallaslp;psqi;sleep_latency,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),pain,Pittsburgh Sleep Quality Index: Have pain during sleep last month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=Xyt3gsX9irR)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_14pain;psqi;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),problem_enthusiasm,Pittsburgh Sleep Quality Index: Problem to keep up enthusiasm to get things done last month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=XJKXeoQ5or0)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_18enthuse;psqi;sleep_related_impairment,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),problem_stay_awake,"Pittsburgh Sleep Quality Index: Trouble staying awake while driving, eating, or engaging socially last month",Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=7JAhxs7cjrA)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_17stayawake;psqi;sleep_related_impairment,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),psqi_score,Pittsburgh Sleep Quality Index: Total (Global) Score,"Summary score for the Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/) Seven component scores are derived, from 0 (no difficulty) to 3 (severe difficulty). The global score is the sum of the seven components (0 to 21), while higher scores indicate worse sleep quality.<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=mJRilvX9iSA) <br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi)",integer,,,psqi; psqi_total;sleep_quality;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),resp_brthng_night,Pittsburgh Sleep Quality Index: Cannot breathe comfortably during sleep the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=Q1yWiFJil9Z)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_09breathe;psqi;sdb;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),rx_help_sleep,Pittsburgh Sleep Quality Index: How often taken prescribed medicine to help with sleep last month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=myy6gi7qor0)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_16rxmeds;psqi;insomnia_treatment,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),sleep_quality,Pittsburgh Sleep Quality Index: Rate overall sleep quality last month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=Q1gmgaQqirC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,good_bad,psqi_19quality;psqi;sleep_quality,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),snore,Pittsburgh Sleep Quality Index: Cough or snore loudly during sleep the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=m1U3xiQ9jSC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_10cough;psqi;sdb;snore;SleepHealth_sleep_apnea,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),trouble_sleep_other_spfy,Pittsburgh Sleep Quality Index: Other reasons for trouble sleeping last month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=XkNheiQ5iHA)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_15other;psqi;insomnia,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_felt_alert_woke_up,PROMIS Sleep-Related Impairment: Felt alert when wake up,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis_re,promissri_02alert;promissri;sleep_quality;SleepHealth_alertness,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_felt_irritable_poor_sleep,PROMIS Sleep-Related Impairment: Felt irritable because of poor sleep,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis,promissri_06irritable;promissri;sleep_related_impairment,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_felt_tired,PROMIS Sleep-Related Impairment: Felt tired,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis,promissri_03tired;promissri;sleep_related_impairment,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_get_things_done_sleepy,PROMIS Sleep-Related Impairment: Had a hard time getting things done because sleepy,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis,promissri_01done;promissri;sleep_related_impairment,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_hard_time_concentrate_day,PROMIS Sleep-Related Impairment: Had a hard time concentrating because of poor sleep,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis,promissri_05concentrate;promissri;sleep_related_impairment,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_prob_day_poor_sleep,PROMIS Sleep-Related Impairment: Had problems during the day because of poor sleep,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis,promissri_04dayprobs;promissri;sleep_related_impairment,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_sleepy_daytime,PROMIS Sleep-Related Impairment: Sleepy during the daytime,"Item from the PROMIS Sleep Related Impairment instrument. [Yu L et al, 2012 (PMID: 22250775)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261577/)<br><br> [Search for all PROMIS SRI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=promissri)",choices,,promis,promissri_07dayslp;promissri;sleep_related_impairment;subjective_sleepiness;SleepHealth_alertness,,,
